Message_Length,Document Index (generated),Message_Length (bin),Number of Records,Created Time,Id (From),Id,Message,Name,Updated Time
643,1,625,1,2018-05-08T10:56:00+0000,100021479812612,284578622020844_396180477527324,"# Starting today, we are kicking off a new series called Trainer Tips. 
# Every fortnight, we will be sharing a quick tip from one of our trainers. 
# This tip could be related to their classroom training experience or the toolkit they teach - it is something that they feel confident about and works for them almost if not every time they try it out! 
# This week, we feature Melvin, one of our facilitators at Quest. Watch the video to know his tip and let us know your thoughts as well!! 
# If you would like to contribute your tip, please send us an email at trainertribe@questalliance.net 🤗
# Thanks Melvin for sharing your experience. 👍👍",Trainer Tribe,2018-05-17T11:48:41+0000
146,2,125,1,2018-05-17T11:25:01+0000,100020397347485,284578622020844_399917347153637,"J.Henry JohnJinthaAmala DomichenChitra Devi V Saswathan. M - can we try this out in our ITIs and centers in TN , when we conduct digital literacy?",Jeevan Kumar,2018-05-17T11:25:01+0000
124,3,100,1,2018-05-16T12:33:26+0000,100025312147621,284578622020844_399530467192325,"Guest lecture on Gender Equality at Saraspur ITI by Gurjeet Kaur (CEO of Janvikas). 
Do read description in comment section.",Vijay Sukhani,2018-05-17T11:11:35+0000
145,4,125,1,2018-05-14T06:11:35+0000,100021479812612,284578622020844_398623497283022,"# Why is thinking not encouraged in classrooms? 
# Can we start appreciating students when they ask intelligent questions?  
# What do you think?",Trainer Tribe,2018-05-17T11:08:13+0000
266,5,250,1,2018-05-07T06:07:18+0000,100021479812612,284578622020844_395695617575810,"# We are very pleased to announce the Trainer of the Month for the month of May - Sridhar. V.  
# Hearty Congratulations, SRIDHAR.V!! 
# Your focus on your own self - learning and helping students see the larger perspective is indeed commendable and worth emulating.",Trainer Tribe,2018-05-17T11:01:57+0000
1440,6,1425,1,2018-05-15T12:24:58+0000,100024692932936,284578622020844_399075683904470,"Today conducted a guest session on Health, Nutrition & Menstruation Cycle for ""girls student of GOVT ITI, Ajmer.  One of the main objective  of  this session was ""to create an understanding about health and awareness  about menstruation cycle.""

**Topics were-: **

1.Health,its importance and factors affecting health

2. Nutrition, deficiency of nutrition and Balanced diet

3. An important topic was also covered with the context of women/girls, that was about  the **anemia, menstruation cycle, hygiene during periods and myths about periods in our society. ** 

**Feedback from students-: ** Before  this session I tried to talk about this with girls and I got to know that they are unaware about the menstruation cycle, why it happen with them/only with girls. That time I also found hesitation in them. some of them started smiling.   

After the session girls said that they got to know about their  body, importance and process of menstruation cycle, hygiene during periods time & myths about periods in our society.

1.  (aaj se phle itna apne shareer ke bare me nhi janti thi jo aaj class me jan ne ko mila)

2.Gender ke bare me janko mila jo hame pata hona chahiye.

""And the best part was that distributed sticky notes to all so that they can write easily. (Because i felt this time again they can feel hesitate) Suddenly they said that they can ask in front of everyone. they do not have any problem. (Quest classes ka kamal)""",Pallavi Mishra,2018-05-17T10:58:51+0000
56,7,50,1,2018-05-16T12:47:21+0000,100023383402509,284578622020844_399535063858532,From the eye of the creater.....art gallery at Kalaunjar,Nupur Kumari,2018-05-17T10:54:52+0000
658,8,650,1,2018-05-04T12:15:42+0000,100020397347485,284578622020844_394537947691577,"Dear all, I am sharing a session plan based on the parents meet that was held at ANEW , a partner organization in Chennai . 

TN QA Fellow Amala Domichen looked into the logistics of the event , while many others from QA team helped me in facilitating the session. 

Please have a look at the session plan and share your thoughts. 

Here is the link to the document 

https://docs.google.com/document/d/1ZtOLJ98Af00WY_BTRVqPCn9Zxd3YRgWHjC66vRhwdag/edit?usp=sharing

Here are the photos of the event 

https://drive.google.com/drive/folders/1-gYq_m3Cs4ootINLyDFn0XQSKuoUGRBj?usp=sharing

Looking for your valuable inputs to further improve the session plan :)",Jeevan Kumar,2018-05-17T10:52:06+0000
541,9,525,1,2018-05-17T08:30:29+0000,100021479812612,284578622020844_399861507159221,"> **If you point out the same blunder once or twice on a given assignment, it’s best to stop there. When I notice the same mistake again, I refrain from making yet another correction. Instead, I highlight the sentence or passage and ask the student to think about what needs revision. **
> **This lets students know that I have faith in them to address the problem without me and gives them more responsibility for their learning. **

**To know more such Feedback techniques that can lead to better learning, read this informative post.   **",Trainer Tribe,2018-05-17T08:30:30+0000
79,10,75,1,2018-05-11T12:04:19+0000,100024135816450,284578622020844_397470577398314,Paloma Foundation has successfully completed the 1st batch of Udhyam Program.  ,Jayaraj L,2018-05-17T07:15:10+0000
